Source;Target;Commits;Language
broonie;htejun;4009;C
broonie;jmberg;4105;C
broonie;bigguiness;4196;C
broonie;tiwai;5239;C
htejun;broonie;3995;C
htejun;jmberg;4105;C
htejun;bigguiness;4196;C
htejun;tiwai;5239;C
jmberg;broonie;3995;C
jmberg;htejun;4009;C
jmberg;bigguiness;4196;C
jmberg;tiwai;5239;C
bigguiness;broonie;3995;C
bigguiness;htejun;4009;C
bigguiness;jmberg;4105;C
bigguiness;tiwai;5239;C
tiwai;broonie;3995;C
tiwai;htejun;4009;C
tiwai;jmberg;4105;C
tiwai;bigguiness;4196;C
broonie;tpetazzoni;1;Makefile
broonie;MiloCasagrande;1;null
broonie;EmbeddedAndroid;6;Python
broonie;mattface;7;Python
tpetazzoni;broonie;2;C
tpetazzoni;MiloCasagrande;1;null
tpetazzoni;EmbeddedAndroid;6;Python
tpetazzoni;mattface;7;Python
MiloCasagrande;broonie;2;C
MiloCasagrande;tpetazzoni;1;Makefile
MiloCasagrande;EmbeddedAndroid;6;Python
MiloCasagrande;mattface;7;Python
EmbeddedAndroid;broonie;2;C
EmbeddedAndroid;tpetazzoni;1;Makefile
EmbeddedAndroid;MiloCasagrande;1;null
EmbeddedAndroid;mattface;7;Python
mattface;broonie;2;C
mattface;tpetazzoni;1;Makefile
mattface;MiloCasagrande;1;null
mattface;EmbeddedAndroid;6;Python
broonie;htejun;4009;C
broonie;jmberg;4104;C
broonie;bigguiness;4196;C
broonie;tiwai;5261;C
htejun;broonie;3995;C
htejun;jmberg;4104;C
htejun;bigguiness;4196;C
htejun;tiwai;5261;C
jmberg;broonie;3995;C
jmberg;htejun;4009;C
jmberg;bigguiness;4196;C
jmberg;tiwai;5261;C
bigguiness;broonie;3995;C
bigguiness;htejun;4009;C
bigguiness;jmberg;4104;C
bigguiness;tiwai;5261;C
tiwai;broonie;3995;C
tiwai;htejun;4009;C
tiwai;jmberg;4104;C
tiwai;bigguiness;4196;C
broonie;htejun;2393;C
broonie;jmberg;2193;C
broonie;tiwai;2886;C
broonie;davem330;2269;C
htejun;broonie;2377;C
htejun;jmberg;2193;C
htejun;tiwai;2886;C
htejun;davem330;2269;C
jmberg;broonie;2377;C
jmberg;htejun;2393;C
jmberg;tiwai;2886;C
jmberg;davem330;2269;C
tiwai;broonie;2377;C
tiwai;htejun;2393;C
tiwai;jmberg;2193;C
tiwai;davem330;2269;C
davem330;broonie;2377;C
davem330;htejun;2393;C
davem330;jmberg;2193;C
